Marital status;Application mode;Application order;Course;Daytime/evening attendance	;Previous qualification;Previous qualification (grade);Nacionality;Mother's qualification;Father's qualification;Mother's occupation;Father's occupation;Admission grade;Displaced;Educational special needs;Debtor;Tuition fees up to date;Gender;Scholarship holder;Age at enrollment;International;Curricular units 1st sem (credited);Curricular units 1st sem (enrolled);Curricular units 1st sem (evaluations);Curricular units 1st sem (approved);Curricular units 1st sem (grade);Curricular units 1st sem (without evaluations);Curricular units 2nd sem (credited);Curricular units 2nd sem (enrolled);Curricular units 2nd sem (evaluations);Curricular units 2nd sem (approved);Curricular units 2nd sem (grade);Curricular units 2nd sem (without evaluations);Unemployment rate;Inflation rate;GDP;Target
1;1;1;9147;1;1;2;1;38;38;7;7;2;0;0;0;1;0;1;18;0;0;5;7;4;13.0;0;0;5;8;3;12.333333333333334;0;0;0;0;Graduate
1;1;1;9130;1;1;2;1;3;1;1;3;2;0;0;0;0;0;0;23;0;0;5;9;0;0.0;3;1;5;10;1;12.0;3;1;2;2;Dropout
1;1;1;9773;1;1;2;1;19;37;9;6;2;1;0;0;1;0;1;19;0;0;6;6;6;13.0;0;0;6;7;6;13.0;0;1;2;2;Graduate
1;17;1;9773;1;1;2;1;3;1;2;3;2;1;0;0;1;0;0;19;0;0;6;7;6;12.5;0;0;6;7;6;12.5;0;1;2;2;Graduate
1;17;1;9147;1;1;1;1;3;1;3;4;1;0;0;0;0;1;0;22;0;0;5;10;4;11.5;0;0;5;11;4;14.0;0;0;2;3;Enrolled
1;39;1;8014;0;1;1;1;37;37;9;9;1;0;0;0;1;0;0;58;0;0;6;14;5;12.4;0;0;6;10;5;11.6;0;0;0;0;Graduate
4;39;1;9670;1;1;0;1;37;37;4;10;1;0;0;1;1;0;1;39;0;0;5;6;5;10.6;0;0;5;7;4;10.75;0;0;0;0;Graduate
1;18;6;9500;1;1;2;1;1;19;1;1;1;1;0;0;1;0;1;18;0;0;8;8;7;14.314285714285717;0;0;8;8;7;14.314285714285717;0;2;3;1;Graduate
1;43;1;9991;0;1;1;1;37;37;9;9;1;1;0;1;1;1;0;34;0;6;10;10;7;11.714285714285714;0;4;10;10;6;11.5;0;1;2;2;Dropout
1;1;3;9085;1;1;2;1;11;11;90;90;2;0;0;0;1;0;0;19;0;0;5;5;5;15.2;0;0;5;6;5;13.2;0;0;3;2;Graduate
2;44;1;9991;0;39;2;1;37;37;9;9;2;0;0;0;1;0;0;41;0;2;6;10;4;12.25;0;3;7;9;6;12.5;0;0;0;0;Enrolled
1;17;5;9670;1;1;1;1;3;4;2;2;1;0;0;0;1;1;0;20;0;0;6;6;3;12.333333333333334;0;0;6;9;0;0.0;0;1;2;2;Dropout
1;1;1;9853;1;1;1;1;38;38;9;9;1;0;0;1;0;0;0;19;0;0;7;11;4;12.0;0;0;7;9;6;11.833333333333334;0;3;1;1;Dropout
1;1;1;9238;1;1;1;1;37;38;9;9;1;1;0;1;0;0;1;19;0;0;6;8;5;10.6;0;0;6;8;5;11.0;0;1;2;2;Graduate
1;1;1;9147;1;1;1;1;19;19;5;5;2;1;0;0;1;0;0;22;0;0;5;8;3;10.333333333333334;0;0;5;11;2;10.0;0;0;3;2;Dropout
1;1;2;9500;1;1;2;1;19;19;9;9;1;1;0;0;1;0;0;18;0;0;7;8;7;14.91875;0;0;8;8;8;15.355;0;3;3;0;Graduate
1;17;1;9147;1;1;1;1;37;37;4;7;1;0;0;0;1;1;1;19;0;0;5;12;3;11.666666666666666;0;0;5;10;3;11.666666666666666;0;2;3;1;Enrolled
1;39;1;8014;0;1;2;1;1;19;5;4;0;0;0;0;1;0;1;27;0;0;6;16;1;10.0;0;0;6;13;0;0.0;0;0;2;3;Dropout
1;17;5;9500;1;1;2;1;19;38;5;8;2;1;0;0;1;0;1;18;0;0;7;7;6;12.6;0;0;7;7;6;12.6;0;0;3;2;Graduate
1;43;1;9500;1;1;1;1;2;4;4;5;2;0;0;0;1;1;0;23;0;0;7;14;5;11.94;0;0;7;14;6;12.2;0;3;0;2;Dropout
1;39;1;9991;0;40;1;1;19;1;3;4;2;1;0;0;1;0;0;27;0;0;5;0;0;0.0;0;0;5;0;0;0.0;0;0;2;3;Dropout
1;17;1;9773;1;1;3;1;2;1;123;135;2;0;0;1;1;0;1;18;0;0;6;6;6;15.666666666666666;0;0;6;6;6;13.833333333333334;0;0;2;3;Graduate
1;39;1;9773;1;19;2;1;19;19;171;163;0;0;0;1;0;0;1;24;0;0;6;6;6;13.5;0;0;6;6;6;13.0;0;1;1;3;Graduate
1;17;1;9773;1;1;1;1;37;37;5;5;1;0;0;0;1;0;0;18;0;0;6;9;6;12.5;0;0;6;9;6;13.0;0;0;3;2;Graduate
1;43;2;9670;1;1;1;1;3;3;5;5;1;1;0;0;1;0;0;19;0;0;5;5;4;13.75;0;0;6;9;5;12.6;0;2;3;1;Enrolled
1;1;1;9853;1;1;1;1;37;37;9;9;1;1;0;1;0;0;0;21;0;0;6;8;3;13.666666666666666;0;0;6;7;3;10.666666666666666;0;3;3;0;Dropout
2;39;1;8014;0;1;1;1;34;34;0;0;0;0;0;0;1;0;0;54;0;0;6;8;4;12.75;0;0;6;12;5;12.6;0;0;3;2;Dropout
1;17;1;9500;1;1;1;1;19;37;9;9;1;1;0;0;1;0;0;19;0;0;7;0;0;0.0;0;0;8;0;0;0.0;0;3;3;0;Dropout
1;1;1;9853;1;1;1;1;19;12;9;4;2;1;0;0;1;0;0;19;0;0;6;6;6;14.166666666666666;0;0;6;7;6;13.666666666666666;0;0;3;2;Graduate
1;51;1;8014;0;42;2;1;19;37;134;193;2;1;0;1;1;0;1;21;0;13;13;13;11;12.727272727272728;0;9;11;11;10;12.6;0;0;2;3;Graduate
1;39;1;9991;0;1;2;1;1;1;4;10;2;0;0;0;1;1;0;25;0;0;5;13;1;10.0;0;0;5;8;2;11.333333333333334;0;2;1;3;Dropout
1;44;1;9070;1;39;0;1;1;1;4;4;0;0;0;0;1;1;0;21;0;2;7;7;5;11.8;0;5;9;9;5;11.0;0;2;1;3;Dropout
1;1;4;9254;1;1;1;1;1;38;5;6;1;1;0;0;1;0;1;18;0;0;6;7;6;12.285714285714286;0;0;6;6;6;12.0;0;0;2;3;Graduate
1;1;1;9500;1;1;1;1;1;19;4;7;1;1;0;0;1;1;0;18;0;0;7;7;7;12.444285714285714;0;0;8;11;7;11.347142857142858;0;2;1;3;Graduate
1;1;2;9670;1;1;2;1;19;19;7;10;1;0;0;0;1;1;0;19;0;0;5;7;3;12.333333333333334;0;0;5;5;5;11.6;0;0;0;0;Graduate
1;1;2;9254;1;1;1;1;37;37;9;9;1;1;0;0;1;0;1;18;0;0;6;8;6;10.571428571428571;0;0;6;9;5;11.4;0;3;1;1;Graduate
1;1;3;9500;1;1;2;1;37;38;9;9;2;1;0;0;1;0;1;22;0;0;7;7;6;13.9;0;0;7;7;6;13.9;0;0;3;2;Graduate
1;1;6;9119;1;1;1;1;19;19;7;3;1;1;0;0;1;1;1;20;0;0;5;6;5;14.0;0;0;5;7;5;13.8;0;0;2;3;Graduate
1;1;1;171;1;1;2;1;19;19;5;10;2;1;0;0;1;1;0;19;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;3;3;0;Dropout
1;1;2;9254;1;1;0;1;4;19;4;3;1;1;0;0;0;1;0;18;0;0;5;6;0;0.0;0;0;5;5;0;0.0;0;2;3;1;Dropout
1;1;1;8014;0;1;1;1;38;38;9;7;1;1;0;0;1;0;0;28;0;0;6;8;5;12.8;0;0;6;8;5;11.0;0;0;0;0;Graduate
1;1;1;9130;1;1;1;1;19;37;1;9;1;1;0;0;1;1;0;22;0;0;5;9;2;10.5;0;0;5;5;0;0.0;0;2;3;1;Dropout
1;1;1;9003;1;1;1;1;38;19;9;7;1;0;0;0;1;1;0;19;0;0;6;8;6;15.5;0;0;6;10;6;14.1;0;3;1;1;Graduate
1;1;1;9773;1;1;2;1;38;38;9;9;2;1;0;0;1;0;1;18;0;0;6;6;6;13.333333333333334;0;0;6;6;6;13.333333333333334;0;0;0;0;Graduate
1;1;1;9238;1;1;3;1;37;37;5;6;2;0;0;0;1;0;1;21;0;0;6;6;6;13.333333333333334;0;0;6;8;6;13.166666666666666;0;0;0;0;Graduate
1;17;1;9991;0;1;2;1;38;38;4;5;2;0;0;0;1;0;0;24;0;0;5;9;2;11.5;0;0;5;11;3;14.333333333333334;1;0;3;2;Enrolled
1;1;1;9773;1;1;1;1;38;37;9;9;1;1;1;0;1;0;0;19;0;0;6;11;4;12.25;0;0;6;11;3;11.0;0;0;3;2;Enrolled
1;1;1;9500;1;1;2;1;19;37;9;9;2;1;0;0;1;0;0;18;0;0;8;8;7;14.13714285714286;0;0;8;8;7;14.13714285714286;0;1;2;2;Graduate
1;17;1;9130;1;1;1;1;2;1;4;1;2;0;0;0;1;1;0;18;0;0;6;9;6;12.0;0;0;6;10;5;12.166666666666666;0;1;1;3;Dropout
1;1;4;9500;1;1;2;1;1;3;1;2;2;0;0;0;1;0;1;20;0;0;8;8;7;14.565714285714288;0;0;8;8;7;14.565714285714288;0;1;2;2;Graduate
2;39;1;9147;1;1;1;1;1;19;9;9;0;0;0;0;0;0;0;29;0;0;4;4;0;0.0;0;0;5;0;0;0.0;0;2;3;1;Dropout
2;42;1;9003;1;1;1;1;3;1;2;2;1;0;0;0;1;1;0;26;0;0;6;9;1;10.0;0;0;6;6;0;0.0;0;2;1;3;Dropout
1;44;1;9085;1;39;2;1;38;1;5;5;2;0;0;0;1;0;0;20;0;0;5;10;2;14.5;1;0;5;7;4;11.25;0;2;3;1;Enrolled
1;39;1;9085;1;2;2;1;38;38;9;10;2;0;0;0;1;1;0;47;0;0;6;0;0;0.0;0;0;6;0;0;0.0;0;3;1;1;Dropout
5;42;1;9254;1;2;1;1;37;37;4;9;1;0;0;0;1;0;0;32;0;9;15;21;13;12.692307692307692;0;12;15;22;13;12.384615384615383;0;1;2;2;Graduate
1;1;1;9853;1;1;1;1;1;1;9;9;1;1;0;0;1;0;0;18;0;0;6;11;3;12.0;0;0;6;13;2;12.0;0;2;3;1;Dropout
1;17;1;8014;0;1;2;1;37;37;5;8;2;0;0;1;1;0;1;22;0;1;6;7;4;12.75;0;1;6;8;5;13.0;0;3;0;2;Graduate
1;1;1;9070;1;1;1;1;37;1;9;8;1;1;0;0;1;1;0;22;0;0;6;9;6;14.666666666666666;0;0;6;12;6;14.666666666666666;0;2;3;1;Graduate
1;17;1;171;1;1;1;1;3;1;9;9;1;1;0;0;1;0;0;20;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;2;3;1;Dropout
2;39;1;9991;0;1;2;1;1;4;4;2;2;0;0;0;1;1;0;34;0;0;5;5;5;14.2;0;0;5;5;5;14.6;0;2;3;1;Enrolled
1;1;2;9773;1;1;1;1;37;37;9;9;2;1;0;0;1;0;0;18;0;0;6;14;4;11.25;0;0;6;9;5;13.0;0;0;0;0;Graduate
1;17;1;9147;1;1;1;1;19;1;7;4;1;1;0;0;1;1;0;20;0;0;5;8;3;11.0;0;0;5;11;3;12.0;0;1;2;2;Enrolled
1;1;2;9670;1;1;1;1;3;1;3;5;0;1;0;0;1;1;0;20;0;0;6;10;5;14.0;0;0;6;10;6;12.0;0;1;1;3;Enrolled
1;17;1;9147;1;1;1;1;19;19;9;7;0;0;0;0;1;0;0;19;0;0;5;7;2;10.0;0;0;5;11;2;14.0;0;1;2;2;Dropout
1;17;1;9853;1;1;2;1;37;37;9;9;2;1;0;0;1;0;0;23;0;0;6;11;2;10.0;0;0;6;15;2;11.0;0;0;3;2;Dropout
